author_name,rating,review_text,publish_time,place_name,place_id,place_location,place_rating,place_primary_type
Markus Wenger,4,,2024-11-08T10:05:22.566412Z,Avelab - Esgueira,ChIJAQTNSQCZIw0R4oI-HJ_-4rM,"{'latitude': 40.6481978, 'longitude': -8.630289}",4.0,medical_lab
Lara Mendes,5,"Muito simpáticos! A entrega foi rapidíssima e a comida estava mesmo boa. Os preços também são muito acessíveis, ganharam uma cliente! Obrigada!",2025-10-28T20:47:06.519725824Z,EATIN,ChIJ4UYOPL2ZIw0RqgE9nEWdd4M,"{'latitude': 40.648165899999995, 'longitude': -8.630390199999999}",5.0,hamburger_restaurant
Nicole,5,"saboroso, ótima entrega e muito simpáticos",2025-10-24T03:35:24.556694520Z,EATIN,ChIJ4UYOPL2ZIw0RqgE9nEWdd4M,"{'latitude': 40.648165899999995, 'longitude': -8.630390199999999}",5.0,hamburger_restaurant
Diogo Moço,5,Encomendei comida para casa e foram rápidos na entrega e sempre muito comunicativos. Os aros de cebola são fantásticos.,2025-10-28T20:47:48.904490884Z,EATIN,ChIJ4UYOPL2ZIw0RqgE9nEWdd4M,"{'latitude': 40.648165899999995, 'longitude': -8.630390199999999}",5.0,hamburger_restaurant
José Cândido,5,"O Mercado Gastronômico e Cultural de Aveiro, também conhecido por Mercado do Peixe, é um espaço vibrante que celebra a rica tradição culinária e cultural da cidade.  Localizado no coração de Aveiro, este mercado oferece aos visitantes uma experiência única, combinando sabores autênticos com eventos culturais envolventes.
O mercado destaca-se pela oferta de pratos típicos da região, preparados com ingredientes frescos e locais.  Os visitantes podem degustar especialidades como ovos moles, caldeirada de enguias, petingas e raia em molho pitau, refletindo a herança marítima de Aveiro.  Além disso, o mercado serve como ponto de encontro para produtores locais, promovendo a sustentabilidade e a valorização dos produtos regionais.
Além da gastronomia, o mercado é palco de diversas manifestações culturais.  Eventos como o programa ""Há (Tarde) no Mercado!"", realizado durante os meses de agosto e setembro, oferecem aos visitantes uma programação recheada de música ao vivo, dança e outras atividades culturais, criando uma atmosfera animada e acolhedora.
Situado no Largo da Praça do Peixe, o mercado beneficia de uma localização privilegiada junto ao canal central de Aveiro.  A área circundante é conhecida pela sua arquitetura encantadora e atmosfera animada, com numerosos bares e restaurantes que complementam a experiência gastronômica.",2025-08-29T13:11:40.256631901Z,Mercado Gstronomico e Cultural,ChIJSSmFEwCZIw0RwqoS59or5Jk,"{'latitude': 40.6424909, 'longitude': -8.6553084}",5.0,market
Guilherme Gomes,5,,2025-07-31T14:13:32.213237010Z,Capela de Aradas A,ChIJB6gXebyiIw0RvbrIuITcVoQ,"{'latitude': 40.621984999999995, 'longitude': -8.643336}",5.0,bus_stop
Christian Efraim Haziel,5,I simply loved it. Best value for money I found in Aveiro.,2025-07-13T15:31:19.697171341Z,Garden Hostel,ChIJSatg1dyjIw0RkYqArCOLsU0,"{'latitude': 40.6159874, 'longitude': -8.6398687}",3.6,hostel
Félix Cloutier,1,"It's a forty minutes walk away (3km) from Aveiro, everything stinks and smell like humidity. If you want to feel like a chicken in a box, well that's the right place for you. No hot water anywhere and you have to take your hygeinic paper everywhere because there is none in the bathroom. Leaving this place and I'm relieved. The beds are comfortable i guess and the people are nice. At least, it was not expensive...",2023-05-21T18:55:05.704969Z,Garden Hostel,ChIJSatg1dyjIw0RkYqArCOLsU0,"{'latitude': 40.6159874, 'longitude': -8.6398687}",3.6,hostel
Diego andres Camargo,2,"I give him two stars for the backyard and the good attitude of the employees of the place, but they are the worst three nights of my life in a hostel, the notice put a separate room, and as an independent it had nothing, apart from the fact that it looks like a cage for chickens, the walls are made of wood and only 1.80 meters high, and to complete they have rented a group of boys who do not know the word respect, at one in the morning talking on the phone, listening to videos, hitting things, breaking bags made of plastic, eating their soup and other foods with very strong smells in a space designed to sleep, and above all you ask them to please respect and care nothing what you say.  Definitely the worst thing that ever happened to me.",2021-08-12T23:21:10.035467Z,Garden Hostel,ChIJSatg1dyjIw0RkYqArCOLsU0,"{'latitude': 40.6159874, 'longitude': -8.6398687}",3.6,hostel
Adarsha আদর্শ シ,4,"Fairly ok for overnight stay, in low price!!  The atmosphere inside feels very good to me!  I think you will like it too!",2023-08-19T01:33:20.314940Z,Garden Hostel,ChIJSatg1dyjIw0RkYqArCOLsU0,"{'latitude': 40.6159874, 'longitude': -8.6398687}",3.6,hostel
Christian Efraim Haziel,5,"I really enjoyed. The place is quiet, clean and organized. A very good option to young groups.",2023-06-29T14:18:38.835693Z,Garden Hostel,ChIJSatg1dyjIw0RkYqArCOLsU0,"{'latitude': 40.6159874, 'longitude': -8.6398687}",3.6,hostel
A. Carlos Galhano,5,Excellent,2019-10-12T22:53:26.291824Z,"Minivip`S, Unipessoal, Lda",ChIJqWs4kb-iIw0RMrP4EeUO_eI,"{'latitude': 40.6159874, 'longitude': -8.6398687}",4.0,point_of_interest
Tobias Lopes,3,,2019-10-09T07:31:29.206660Z,"Minivip`S, Unipessoal, Lda",ChIJqWs4kb-iIw0RMrP4EeUO_eI,"{'latitude': 40.6159874, 'longitude': -8.6398687}",4.0,point_of_interest
Qujid,5,"The soup, stir-fried vegetables, and grilled fish were truly memorable. The stir-fried vegetables, in particular, were the best I had in Portugal. The staff were also very friendly and welcoming.",2025-10-24T18:44:59.677569141Z,Maré Cheia,ChIJOdvNlgOYIw0R0ZU0zarS1hE,"{'latitude': 40.6407166, 'longitude': -8.655700699999999}",4.6,restaurant
Jib Iwig,5,"Amazing meal! The mixed platter for 2 (110€) was plenty for my very hungry family of 4, next time we would also order 4 seafood soups (best in the world, dairy free). Freshly weighed before cooking, I wouldn’t mind heading there from Porto to sit at the bar in the back. Our total was 140€, including wine, a steak, 2 soups, moules. We could barely eat dinner, this meal was so good and plentiful.",2025-07-18T06:43:32.500293654Z,Maré Cheia,ChIJOdvNlgOYIw0R0ZU0zarS1hE,"{'latitude': 40.6407166, 'longitude': -8.655700699999999}",4.6,restaurant
Tatiana Koliyeva,5,"Great place with amazing sea food. I do advise to book for dinner in advance. Preferably go for dinner around 20:00. Service personnel were very accommodating, active in reservation (called us the moment the space freed up for us earlier than original reservation time).",2025-08-16T10:51:48.540796759Z,Maré Cheia,ChIJOdvNlgOYIw0R0ZU0zarS1hE,"{'latitude': 40.6407166, 'longitude': -8.655700699999999}",4.6,restaurant
Aiste Ancas,4,"We came here for dinner as we wanted to try sapateira (crab). For the starters we had some bread with butter and vegetable soup. Soup was nice, nothing too special. Crab was good, one was enough for 2 people. I wouldn't say that sapateira was something wow, it was ok. It had some crab shell in the mix, not sure if it's supposed to be like this or not, but not the best experience.",2025-09-04T08:02:27.458870363Z,Maré Cheia,ChIJOdvNlgOYIw0R0ZU0zarS1hE,"{'latitude': 40.6407166, 'longitude': -8.655700699999999}",4.6,restaurant
Bruna Palma,5,"Possibly the best seafood rice I’ve ever had. Rice was ‘Al dente’ and had the perfect texture and no shortage of seafood (clams, shrimps, half a lobster). Great vinho verde options as well, and friendly service. I can’t recommend this dish enough. Dish for 2 cost 56 euros plus wine starting at 8 the bottle.",2025-06-07T12:09:02.993269605Z,Maré Cheia,ChIJOdvNlgOYIw0R0ZU0zarS1hE,"{'latitude': 40.6407166, 'longitude': -8.655700699999999}",4.6,restaurant
Lara Marie,5,"I had Tripas de Chocolate Crocante and it was fantastic! Very fluffy and soft, not too sweet, just delicious. Would come back!",2025-08-13T18:03:41.967008959Z,Tezero Tripas De Aveiro,ChIJ_RfXlgOYIw0RbKMWZCTHnIg,"{'latitude': 40.640817399999996, 'longitude': -8.6556436}",4.6,coffee_shop
Blah Blah,4,"They have combo for tripas, drink and coffee. Great food ambience.",2025-08-27T06:17:13.728585800Z,Tezero Tripas De Aveiro,ChIJ_RfXlgOYIw0RbKMWZCTHnIg,"{'latitude': 40.640817399999996, 'longitude': -8.6556436}",4.6,coffee_shop
Matthew Palm,5,Very delicious tripa and the interior is very beautiful and unique.,2025-06-07T18:29:18.047945Z,Tezero Tripas De Aveiro,ChIJ_RfXlgOYIw0RbKMWZCTHnIg,"{'latitude': 40.640817399999996, 'longitude': -8.6556436}",4.6,coffee_shop
Michele Mereu,5,"Really nice people and really good tripas!
I suggest you to try multiple tripas and to divide them, they are really big.
The lady coocking the tripas talks me about the origin of doce, she was really kind.",2024-10-25T21:26:39.298210Z,Tezero Tripas De Aveiro,ChIJ_RfXlgOYIw0RbKMWZCTHnIg,"{'latitude': 40.640817399999996, 'longitude': -8.6556436}",4.6,coffee_shop
Debora Sperandio,5,"This is literally the best tripa you will ever eat, it doesn’t compare to any other places you will eat. The Nutella one is a must and I eat every time I go to Aveiro haha. They also have salty options and the decoration is amazing to look while you are waiting or eating.",2023-05-25T19:26:30.612064Z,Tezero Tripas De Aveiro,ChIJ_RfXlgOYIw0RbKMWZCTHnIg,"{'latitude': 40.640817399999996, 'longitude': -8.6556436}",4.6,coffee_shop
Anish Ahmed,4,Food is tasty but seems overpriced for the portions of meat. Service and ambience is good.,2025-10-09T11:09:43.588315698Z,ASIMAMI,ChIJZYTvzQqZIw0Rw7sCPXbo8pQ,"{'latitude': 40.640718199999995, 'longitude': -8.655553}",5.0,asian_restaurant
Indashai Warjri,5,Excellent restaurant for Asian! Pretty authentic taste and flavour. We really enjoyed our dinner here. Very good service too!,2025-09-03T15:06:07.130644103Z,ASIMAMI,ChIJZYTvzQqZIw0Rw7sCPXbo8pQ,"{'latitude': 40.640718199999995, 'longitude': -8.655553}",5.0,asian_restaurant
Deborah Miller,5,Excellent food & service. I've eaten here 3 times on my visit to Aveiro. Highly recommend,2025-09-20T19:25:08.934673982Z,ASIMAMI,ChIJZYTvzQqZIw0Rw7sCPXbo8pQ,"{'latitude': 40.640718199999995, 'longitude': -8.655553}",5.0,asian_restaurant
Helen Bell,5,"Amazing infusion of flavours and quite different from the flavours in Australia.  So nice to have access to Asian food after completing the Camino Frances and eating Spanish food. Well done owner of this
business!",2025-10-08T19:02:38.963019969Z,ASIMAMI,ChIJZYTvzQqZIw0Rw7sCPXbo8pQ,"{'latitude': 40.640718199999995, 'longitude': -8.655553}",5.0,asian_restaurant
Catia Salvador,5,"Simplesmente incrível! O restaurante oferece uma verdadeira experiência asiática, com pratos cheios de sabor, ingredientes frescos e uma apresentação impecável. O ambiente é acolhedor e bem decorado, perfeito tanto para um jantar tranquilo quanto para encontros especiais. O atendimento foi excelente — atencioso, rápido e super simpático.
O restaurante que faltava em Aveiro 🫶🏻🙏👏👏",2025-08-01T19:01:33.311314249Z,ASIMAMI,ChIJZYTvzQqZIw0Rw7sCPXbo8pQ,"{'latitude': 40.640718199999995, 'longitude': -8.655553}",5.0,asian_restaurant
Wemerson Lopes,5,Good coffee,2020-08-28T12:12:10.535525Z,bp,ChIJoZgK6J6nIw0RBEvZ0qiiluk,"{'latitude': 40.5609588, 'longitude': -8.5405301}",3.9,gas_station
Tiago Ferreira ADG,1,"De manhã cedo aproveitei para pagar portagens neste estabelecimento por ter Payshop, a funcionária ""Débora bandeira""  recusou o pagamento por não ter troco quando tinha acabado de abrir portas, o pior foi um comentário "" Vocês Portuguêses ...."" irei fazer queixa por escrito inclusive no portal da queixa e nomearei a empresa. Para além da recusa, ainda fui desrespeitado verbalmente.
A minha namorada testemunhou tudo.",2025-04-04T07:21:15.006572Z,bp,ChIJoZgK6J6nIw0RBEvZ0qiiluk,"{'latitude': 40.5609588, 'longitude': -8.5405301}",3.9,gas_station
Juliana Costa,5,"Bomba de gasolina com loja , atendimento rápido.",2025-01-18T19:17:57.205806Z,bp,ChIJoZgK6J6nIw0RBEvZ0qiiluk,"{'latitude': 40.5609588, 'longitude': -8.5405301}",3.9,gas_station
Ricardo Teixeira,1,Horario errado.. sapos!! Atualizem!! 24 horas nunca sao 22 horas e esta encerrada!,2022-05-11T21:32:36.113015Z,bp,ChIJoZgK6J6nIw0RBEvZ0qiiluk,"{'latitude': 40.5609588, 'longitude': -8.5405301}",3.9,gas_station
Ailson Carvalho,4,"Conta com serviço de frentista, preço competitivo e o bom humor e tratamento dos funcionários o diferencial.",2022-05-07T14:36:59.185016Z,bp,ChIJoZgK6J6nIw0RBEvZ0qiiluk,"{'latitude': 40.5609588, 'longitude': -8.5405301}",3.9,gas_station
Yailin Coromoto,5,"Tive a oportunidade de vir a comer em várias ocasiões, as empanadas e hamburger são muito boas eu adoro, até sempre esqueço de tirar as fotografias🙈🙈. Recomendo muito e atenden com muita amabilidade e carinho, gostei",2024-09-01T12:45:08.636024Z,Café PetroPateira,ChIJN2XeOM2mIw0Rd5zu7rMebQA,"{'latitude': 40.5609786, 'longitude': -8.540497199999999}",4.1,coffee_shop
Andrea stephania De sousa mendoza,5,I loved the food and especially the tequeños with their garlic sauce were delicious! 😄,2023-08-20T17:13:01.679630Z,Café PetroPateira,ChIJN2XeOM2mIw0Rd5zu7rMebQA,"{'latitude': 40.5609786, 'longitude': -8.540497199999999}",4.1,coffee_shop
JOSE GREGORIO MOLINA BRIÑEZ,5,"EXCELLENT ATTENTION, KINDNESS, SERVICE AND FOOD, THANK YOU VERY MUCH",2023-11-08T15:24:30.962519Z,Café PetroPateira,ChIJN2XeOM2mIw0Rd5zu7rMebQA,"{'latitude': 40.5609786, 'longitude': -8.540497199999999}",4.1,coffee_shop
Luis duarte,5,A simple but good coffee to spend some time and chat because it is very calm.,2018-06-26T21:02:23.583Z,Café PetroPateira,ChIJN2XeOM2mIw0Rd5zu7rMebQA,"{'latitude': 40.5609786, 'longitude': -8.540497199999999}",4.1,coffee_shop
Mygardener Aveiro,1,"Básico.
Um café e pouco mais. (Se houver)",2018-05-02T19:38:39.350Z,Café PetroPateira,ChIJN2XeOM2mIw0Rd5zu7rMebQA,"{'latitude': 40.5609786, 'longitude': -8.540497199999999}",4.1,coffee_shop
