row_idx,topic_id,topic_prob,place_name,rating,review_text,publish_time
0,0.0,0.8126320838928223,bp,5,The bp pulse electric charging service is the best in Portugal.,2025-09-27T16:58:47.550011018Z
1,1.0,0.735725462436676,bp,1,"Normal rated fuel sold under a premium brand, that gives you no benefits. Want your car to work fine do the schedule maintenance in time or within the kms.
Plenty of cheaper fuel stations that sell certified fuel. Waste of money on placebo premium fuel. Anyone saying other wise is either being paid or just a bad mechanic",2020-01-24T03:27:20.917107Z
2,0.0,0.4931841790676117,bp,4,They sell fossil fuels and candy. Nice staff though.,2018-11-16T19:36:19.115422Z
3,2.0,0.7078797817230225,bp,4,"GPL a bit expensive, but at least it's always open",2019-03-29T18:59:22.923429Z
4,2.0,0.6468037962913513,Café BP Maia,5,"Very friendly host.
He didn't speak English, but we were able to communicate with him using gestures.
Nice little café.",2022-09-21T08:28:41.145227Z
5,0.0,0.7521787285804749,Café BP Maia,4,Great service.,2025-01-03T00:10:54.199225Z
6,0.0,0.6909856200218201,Melatte Cafe,5,"It's a very nice cafe with excellent service 👌 the staff are wonderful, I recommend it without hesitation.",2021-11-14T00:19:45.836056Z
7,0.0,0.563057541847229,Brigs,5,"Great authentic places to have a wonderful time. We took Capuccino and double espresso long shot, chicken and cheese Coxinha de frango. It worth to try. There is a great advantage of the place if you are visiting the city with kind. There is perfectly protected kids playground just next to the cafe, so you can enjoy your coffee time and let your kids to enjoy themselves, too.",2022-06-27T12:03:25.251276Z
8,2.0,0.8251248002052307,Brigs,5,"So happy that we found this place for an afternoon coffee break. First of all, it'd hard to find cafes offering soymilk in Portugal so I'm glad Brigs offers it. Friendly service, great coffee and unique sweets! We tried their version of ovos moles and another one filled with caramel textured. Both good! And good value. Highly recommend!",2019-07-01T21:28:10.221546Z
9,2.0,0.7361897230148315,Brigs,5,"Very cozy and pleasant place with inspiring view and convenient for children. It offers nice coffee delicacies, petiscos, brigadeiros, pastéis and many other sweet and solty delights!",2017-11-01T12:03:42.131Z
10,0.0,0.48834043741226196,Brigs,5,"Nice little shop right by the Forum. Staff was super nice and helpful with suggestions. You must try the hot chocolate, so thick you can eat it with a spoon and absolutely delicious!",2019-07-31T18:33:11.115330Z
11,2.0,0.9407981038093567,Brigs,5,Great outdoor seating. Great service. A good place to sit down and relax if you need a break.,2023-11-23T20:45:24.330052Z
12,2.0,0.7181870937347412,CTT Correios,4,"Very attentive and friendly staff, although a little slow. They are very helpful..! The place is a little dark and with only 3 seats to wait. The seats are very low for an elderly, disabled and/or pregnant person. I don't know how easily a person in a wheelchair could move around the premises.",2019-01-04T11:56:10.877374731Z
13,2.0,0.5149251818656921,CTT Correios,1,"Terrible customer service, unpleasant treatment. They make any business in this center tedious.",2025-04-03T14:50:38.008702Z
14,1.0,0.7297616004943848,bp,1,At night i am going bp and i am waiting 10 minutes front billing services but lady not come and after that  i ring the bell for please come but young lady very disrespectful and       Rudely speak with me she work night shift 👎🏻,2024-05-22T23:47:25.169506Z
15,2.0,0.5085170269012451,Porta 36,5,"It is in the center and the right next to my hotel , the waiter was very nice and welcoming , the food did not take long and it was really nice .
The octopus salad was really good , and the shrimp was delicious as well , the only comment i have is that the shrimp was not deveined and i had to clean it. But otherwise , satisfied with the service and the quality. Would visit again.",2025-10-23T21:24:09.473562163Z
