row_idx,topic_id,topic_prob,place_name,rating,review_text,publish_time
0,0.0,0.5952940583229065,bp,4,Normal.,2024-12-11T01:25:59.877968Z
1,2.0,0.7633483409881592,Café BP Maia,4,Espaço pequeno mas acolhedor...Tem mesas no interior e no exterior para apanhar ar fresco. A senhora atende muito bem e é gentil....,2023-10-06T13:00:02.035358Z
2,2.0,0.4695776402950287,Café BP Maia,5,"Já o frequento á muitos anos , gosto muito e recomendo",2020-02-15T10:17:58.273986Z
3,0.0,0.5492171049118042,Café BP Maia,4,Típico café antigo de bombas de gasolina..,2023-04-25T10:54:47.405721Z
4,4.0,0.4958151578903198,Farmácia Higiene,5,"Excelente atendimento ao público, muito bons  e  atenciosos profissionais de saúde , sempre disponíveis e prontos a ajudar quando os  solicitados, Bem haja",2025-11-28T13:41:22.485975591Z
5,3.0,0.5144173502922058,Farmácia Higiene,2,Tem dias que estão a conversa e não dão a devida atenção ao cliente . Nem um bom dia nem um obrigado da última vez que visitei. Nesta área pede-se mais brio .,2025-07-12T12:16:28.016890512Z
6,2.0,0.9175840020179749,Farmácia Higiene,5,"Cá em casa, somos clientes desta farmácia. Os meus pais também eram.
Somos sempre atendidos com profissionalismo, e simpatia!",2025-06-25T19:29:59.835230631Z
7,2.0,0.7972414493560791,Farmácia Higiene,3,"Muito atenciosos, bom atendimento",2025-07-17T10:03:18.071222964Z
8,3.0,0.601732611656189,Farmácia Higiene,1,"Fui atendida nesta farmácia por um profissional de saúde que na minha opinião deveria considerar a conduta no atendimento. Extremamente rude, sem qualquer tato e cuidado nas palavras, existem formas de esclarecer dúvidas e este senhor não o fez com atenção e respeito, muito pelo contrário. Uma vergonha",2024-07-03T06:42:44.727754Z
9,2.0,0.8375323414802551,Melatte Cafe,2,"No preçário tem produtos que o funcionário nem sabia o que eram. Bastantes produtos indisponíveis, só tem café e capuccino, nada mais.
Espaço pequeno e sem grande decoração. Atendimento razoável.",2022-12-02T23:46:46.786087Z
10,2.0,0.7178300619125366,Melatte Cafe,5,"o lugar é um café muito bonito e diferente de todos ao redor, as pessoas são muito simpáticas e têm muita variedade de sumos e bebidas eu tomei um milkshade que nem na América experimentei tão bom",2021-01-03T18:00:09.863291Z
11,0.0,0.5245288610458374,Melatte Cafe,5,"Tirando os senhores esquisitos que se metem na minha vida, o Melatte é Top.
Simplesmente Top.",2022-12-30T15:05:20.949358Z
12,2.0,0.645383894443512,Melatte Cafe,1,"Servem clientes privilegiadas, quando já não servem os demais clientes",2023-07-28T01:00:46.873540Z
13,4.0,0.6279639601707458,Cabeleireiro Carla e Catarina,5,"Conheço a Carla desde menina quando começou a trabalhar. Frequentei o cabeleireiro que tem com a Catarina com regularidade durante muitos anos. Agora menos dado não viver em Aveiro. Aconselho vivamente. São profissionais de mão cheia, super competentes e acolhedoras.",2024-08-12T12:10:34.457070Z
14,4.0,0.5072897672653198,Cabeleireiro Carla e Catarina,5,"A Carla e a Catarina são excelentes profissionais competentes que usam produtos de qualidade que ajudam na melhor recuperação e manutenção do nosso cabelo. Estou muito feliz com a minha cor do cabelo e corte.
O que também aprecio muito é a marcação e atendimento na hora agendada assim como a simpatia de ambas.
voltarei sempre!",2022-05-18T17:17:21.687625Z
15,4.0,0.6110210418701172,Cabeleireiro Carla e Catarina,5,Para além de super profissionais são excelentes pessoas. Não é por nada que têm uma lista de clientes de longa data. É sempre bom voltar e saber que podemos confiar de olhos fechados no trabalho da Carla e da Catarina.,2021-05-18T19:57:47.334772Z
16,4.0,0.5871784090995789,Cabeleireiro Carla e Catarina,5,"Ambiente profissional e super relaxante ao mesmo tempo, o sítio ideal para nos mimarmos! A Carla e a Catarina combinam na perfeição o respeitar dos nossos gostos e o conselho profissional, de modo a termos o melhor resultado possível e sairmos sempre satisfeitas.",2021-05-21T17:43:28.680670Z
17,4.0,0.6961890459060669,Cabeleireiro Carla e Catarina,5,"Há mais de 30 anos a cuidar do meu cabelo 😃, ninguém mais lhe toca!!! Fico sempre satisfeita, e aconselho vivamente o salão. Amigas,confidentes,e extremamente profissionais e actualizadas em termos de tendências. Excelente, bravo. 😍😍😍😍♥️♥️♥️♥️♥️♥️♥️",2022-05-20T23:21:35.025685Z
18,2.0,0.7701310515403748,EATIN,5,"Muito simpáticos! A entrega foi rapidíssima e a comida estava mesmo boa. Os preços também são muito acessíveis, ganharam uma cliente! Obrigada!",2025-10-28T20:47:06.519725824Z
19,2.0,0.5364106893539429,EATIN,5,Encomendei comida para casa e foram rápidos na entrega e sempre muito comunicativos. Os aros de cebola são fantásticos.,2025-10-28T20:47:48.904490884Z
20,2.0,0.8365078568458557,EATIN,5,"saboroso, ótima entrega e muito simpáticos",2025-10-24T03:35:24.556694520Z
21,4.0,0.6832247376441956,Lavandaria Morgado,5,Recomendo uma das melhores em esgueira . Excelente trabalho e prefucionalismo. .,2025-10-16T13:43:31.834832455Z
22,2.0,0.6942387819290161,Raquel Sabores,5,"Ótima experiência, salgadinhos de festa deliciosos e quentinho, pães doces, docinhos, bolo de pote. Tudo sensacional.",2025-11-29T11:11:32.747707378Z
23,1.0,0.5029402375221252,CTT Correios,1,"Fujam desta estação dos CTT. Já tive muito más experiências com a Sra. Ana Paula Bastos. Se nega a fazer trabalhos  competentes aos CTT, que curiosamente, são feitos no posto do CTT da Lourenço Peixinho.
Evitem. Para esquecer.",2025-11-19T07:43:34.058921777Z
24,3.0,0.7315395474433899,CTT Correios,1,"Nota ZERO aos atendentes do CTT de Esgueira, muita conversa e pouco trabalho. Descaso e falta de profissionalismo com os clientes. Lamentável a quantidade de comentários negativos.",2025-07-15T20:01:05.540276596Z
25,3.0,0.6027165055274963,CTT Correios,3,"Atendimento desorganizado e pouco cordial, o que torna a experiência desagradável. Falta de compreensão e empatia para com o cliente.",2025-08-15T09:22:30.897086126Z
26,2.0,0.5197866559028625,Nova Foto - Ribeiro da Silva fotografo,5,"Excelente experiência! A loja oferece um serviço de fotografia de alta qualidade, com o dono muito simpáticos, profissional e atencioso. Fui tirar fotos para documentos e o atendimento foi rápido, eficiente e com muito cuidado aos detalhes. As fotos ficaram ótimas e prontas em poucos minutos. O ambiente é limpo, organizado e acolhedor. Sem dúvida, voltarei sempre que precisar e recomendo a todos que procuram um serviço fotográfico de confiança.!!",2025-05-14T17:05:50.040680Z
27,4.0,0.8982241153717041,Nova Foto - Ribeiro da Silva fotografo,5,"Experiência muito boa, o fotógrafo está sempre sorridente, é muito amável e muito competente na sua área. Recomendo!",2025-07-31T13:58:28.513846816Z
28,2.0,0.6621471643447876,Nova Foto - Ribeiro da Silva fotografo,5,"Serviço muito rápido e muito atenciosos.
Não estão para enganar ninguém. Bons preços
Aconselho",2020-11-10T07:27:49.826007Z
29,2.0,0.8365338444709778,Nova Foto - Ribeiro da Silva fotografo,5,Serviço 10* sempre com profissionalismo e um sorriso contagiante.,2019-11-29T08:45:57.380152Z
30,1.0,0.46507468819618225,Nova Foto - Ribeiro da Silva fotografo,1,"Péssimo atendimento,sem prazo para reparo de máquinas fotográfica...",2023-05-16T19:14:15.948182Z
31,2.0,0.8626300096511841,Broa De Mel,1,Não gostei do ambiente. O que comprei não gostei . Não recomendo.,2025-06-19T20:59:12.324802286Z
32,2.0,0.866145670413971,Broa De Mel,4,Bom pão e café. Bom ambiente.,2025-08-02T13:16:26.258522007Z
33,2.0,0.564136803150177,Broa De Mel,5,Muito bom tudo recomendo si querem passar um dia agradável e comer doces e levar um bom pão sim dúvidas lá é o sítio,2023-06-05T16:08:45.636746Z
34,1.0,0.5894489288330078,Broa De Mel,3,"Padaria/Pastelaria, onde se pode comprar bom pão,  tomar café,  lanchar, conviver...
Situada no  centro de Esgueira.",2019-06-18T21:40:17.464936Z
35,2.0,0.8659111261367798,Broa De Mel,5,"Boa seleção de doces, preços justos, aconselho 100%",2022-01-05T08:13:02.256578Z
36,1.0,0.5458521246910095,Minimercado de Esgueira,3,"Sempre que falta alguma coisa, horário alargado, aberto mesmo ao fim de semana.",2018-10-17T16:39:59.235401692Z
37,2.0,0.8825360536575317,Minimercado de Esgueira,5,De tudo um pouco e sempre com um sorriso no atendimento ao cliente.,2021-11-05T19:50:08.841734Z
38,2.0,0.5958739519119263,Minimercado de Esgueira,5,Muito útil,2019-08-10T12:55:55.299291Z
39,2.0,0.7307019829750061,Minimercado Marisela,5,Espaço 5 estrelas,2019-08-20T09:52:28.869468Z
40,3.0,0.8368285894393921,Agências Funerárias Servilusa Aveiro,1,Valor extremamente elevado em comparação com outras funerárias.,2025-09-26T19:18:00.644368278Z
41,4.0,0.838546633720398,Agências Funerárias Servilusa Aveiro,5,"Uma grande equipa de profissionais,parabéns!",2018-02-06T22:45:25.991Z
42,0.0,0.40299999713897705,bp,1,"Terrível. O ambiente fora é pior que uma favela, música aos berros, gente estranha e buçal, assustador. Senti medo de ser assediada ou assaltada. Piora casa vez que lá vou. Os funcionários, coitados, exaustos, sem formação e um ambiente miserável. Ao comentar, informam que o dono só quer saber do dinheiro em caixa. Mas perde todos os dias bons clientes, por não saber receber e manter o espaço agradável e socialmente aceitável. O Pingo Doce vai ter conhecimento do facto de estarem a denigrir a imagem da marca.",2025-08-20T22:46:18.427360050Z
43,0.0,0.5396522879600525,Style car wash,2,"Serviço de limpeza completa escolhido. Objetivo era limpar os estofos principalmente. 80€ e 10h de serviço. Pior escolha de sempre! Passado este tempo todo de espera, recebo o carro com os estofos da traseira numa miséria. Só andaram lá a esfregar porque me indignei com o serviço. Fotografias tiradas assim que cheguei a casa. Frisos das portas horriveis e cheios de poeira (nem 1 pano viram em condições). Porta copos com sujidade. Manchas nos estofos após a limpeza feita à minha frente. Depois de 10h questiono o que andaram a fazer porque serviço destes fazemos nos em casa com um balde e um pano, e melhor! Não recomendo
Dou 2 estrelas porque tiveram a decência de fazer desconto de 20euros",2025-06-05T19:18:01.479495344Z
44,4.0,0.5924158692359924,Style car wash,5,"Fiz um serviço de coating cerâmico em meu carro, fiquei extremamente satisfeito, além da pintura protegida, o carro ficou como novo, preço justo e atendimento impecável. Virei cliente com toda certeza. Recomendo a todos!",2025-05-19T18:14:00.697830Z
45,4.0,0.42867881059646606,Style car wash,5,"Fiz polimento no meu carro , ele Ficou impecavel , exterior como interior . Estou muito satisfeita ! Recomendo . Eu voltarei",2025-06-07T17:25:34.446613109Z
46,4.0,0.41044625639915466,Style car wash,5,"Costumo levar sempre meu carro a este sítio, e sempre fico muito satisfeita, atendimento atencioso, limpeza impecável e preço justo. Super recomendo!",2025-05-19T18:08:41.322318Z
47,2.0,0.5218582153320312,Style car wash,5,"Serviço excelente, rápido, competente, responsável. Depois de limpo o carro parece novo. Com lavagem aos estofos e enceramento exterior então perfeito. Recomendo vivamente! Parabéns pelo vosso empenho!",2024-10-30T14:38:38.277469Z
48,1.0,0.531704843044281,Mercado Gstronomico e Cultural,5,"O Mercado Gastronômico e Cultural de Aveiro, também conhecido por Mercado do Peixe, é um espaço vibrante que celebra a rica tradição culinária e cultural da cidade.  Localizado no coração de Aveiro, este mercado oferece aos visitantes uma experiência única, combinando sabores autênticos com eventos culturais envolventes.
O mercado destaca-se pela oferta de pratos típicos da região, preparados com ingredientes frescos e locais.  Os visitantes podem degustar especialidades como ovos moles, caldeirada de enguias, petingas e raia em molho pitau, refletindo a herança marítima de Aveiro.  Além disso, o mercado serve como ponto de encontro para produtores locais, promovendo a sustentabilidade e a valorização dos produtos regionais.
Além da gastronomia, o mercado é palco de diversas manifestações culturais.  Eventos como o programa ""Há (Tarde) no Mercado!"", realizado durante os meses de agosto e setembro, oferecem aos visitantes uma programação recheada de música ao vivo, dança e outras atividades culturais, criando uma atmosfera animada e acolhedora.
Situado no Largo da Praça do Peixe, o mercado beneficia de uma localização privilegiada junto ao canal central de Aveiro.  A área circundante é conhecida pela sua arquitetura encantadora e atmosfera animada, com numerosos bares e restaurantes que complementam a experiência gastronômica.",2025-08-29T13:11:40.256631901Z
49,1.0,0.47572192549705505,Mercado Gstronomico e Cultural,3,"Sugiro que neste novo e recente nome para o anteriormente conhecido como ""Mercado do Peixe"" seja corrigida a palavra ""Gstronomico"" para ""Gastronómico""!",2025-11-15T10:35:15.347696234Z
50,0.0,0.5162837505340576,Chafariz do Largo da Praça do Peixe,3,"Este Chafariz junto à praça do peixe, está mal preservado, muito por culpa da mão humana que teima em estragar o património.",2024-10-04T07:27:02.947057Z
51,1.0,0.6640596389770508,Aradas,2,A Junta de Freguesia precisa de fazer muito mais pelos cidadãos. Por Aradas a Junta de Freguesia faz muito pouco.,2025-05-01T09:51:15.104510Z
52,2.0,0.5673422813415527,Pastelaria Pérola,4,Uma padaria  bonita e agradável o atendimento muito bom o preço também até porque é uma padaria de bairro recomendo. muito tranquilo aqui,2025-02-27T11:12:05.797689Z
